OrdenID,MetodoPagoID,MontoPagado
1,2,580.22
2,4,638.87
3,7,946.09
4,2,390.35
5,3,908.67
6,7,483.34
7,4,237.66
8,5,549.27
9,7,278.62
10,5,678.31
11,1,617.55
12,6,763.65
13,4,104.7
14,1,815.7
15,2,933.78
16,4,299.45
17,7,378.39
18,5,171.14
19,4,243.26
20,5,283.2
21,1,655.06
22,5,199.47
23,2,527.29
24,5,846.28
25,5,156.21
26,4,336.88
27,7,250.18
28,6,591.52
29,4,519.15
30,5,324.56
31,5,285.35
32,6,425.7
33,6,687.72
34,1,279.95
35,4,367.44
36,3,766.84
37,6,433.05
38,6,616.46
39,2,528.11
40,4,113.97
41,1,545.06
42,7,156.66
43,4,418.95
44,7,892.64
45,2,138.31
46,2,346.61
47,5,616.01
48,2,553.37
49,1,972.57
50,3,367.26
51,3,247.63
52,5,476.29
53,3,638.05
54,1,443.71
55,1,600.08
56,5,791.47
57,1,515.49
58,6,179.03
59,2,272.28
60,4,622.42
61,3,337.17
62,7,609.37
63,5,206.83
64,6,124.91
65,3,257.69
66,6,344.91
67,3,555.68
68,7,635.4
69,7,735.53
70,2,523.8
71,4,475.25
72,2,343.2
73,5,976.97
74,1,683.46
75,1,405.32
76,1,413.74
77,5,449.66
78,4,443.24
79,3,401.01
80,4,161.52
81,7,889.44
82,7,664.17
83,4,514.5
84,7,355.51
85,6,745.98
86,4,718.78
87,3,928.38
88,6,965.72
89,6,351.44
90,4,593.93
91,3,666.25
92,4,428.16
93,7,589.5
94,3,846.39
95,4,647.26
96,6,506.46
97,6,100.05
98,6,275.87
99,3,442.85
100,5,382.76
101,2,187.85
102,5,393.06
103,3,328.5
104,3,582.36
105,5,903.22
106,4,645.21
107,4,447.09
108,6,447.96
109,4,981.82
110,5,725.87
111,5,946.11
112,4,474.9
113,2,222.99
114,7,610.05
115,3,696.58
116,2,727.78
117,5,460.57
118,4,139.7
119,4,171.38
120,6,276.68
121,4,207.87
122,1,560.59
123,2,648.65
124,5,409.85
125,7,640.66
126,1,773.83
127,4,953.17
128,4,704.88
129,1,786.76
130,7,243.36
131,4,313.52
132,6,428.56
133,5,234.96
134,4,702.37
135,7,452.9
136,5,123.16
137,7,957.69
138,6,233.51
139,2,996.9
140,1,371.5
141,5,699.63
142,6,777.76
143,1,219.45
144,6,997.24
145,3,690.71
146,4,715.3
147,7,674.61
148,3,540.26
149,4,704.61
150,4,920.44
151,5,723.18
152,1,948.31
153,7,539.23
154,2,453.01
155,1,170.57
156,4,401.89
157,3,887.47
158,4,607.04
159,2,400.17
160,3,176.97
161,7,373.41
162,6,805.91
163,3,407.19
164,3,202.85
165,2,280.49
166,2,719.42
167,7,664.33
168,6,433.85
169,2,530.9
170,7,558.74
171,7,637.19
172,6,143.05
173,7,325.13
174,3,891.49
175,6,797.23
176,3,178.38
177,2,368.25
178,7,213.33
179,1,600.22
180,6,562.99
181,3,735.53
182,3,656.6
183,7,889.87
184,5,288.02
185,1,183.82
186,2,810.92
187,3,102.05
188,5,145.34
189,7,850.84
190,5,312.87
191,1,572.95
192,3,236.01
193,4,213.92
194,2,500.98
195,2,680.16
196,2,149.68
197,3,718.03
198,2,979.71
199,1,275.39
200,7,398.99
201,1,670.96
202,7,682.59
203,3,306.58
204,7,199.84
205,5,511.11
206,3,898.27
207,1,302.98
208,4,255.76
209,5,584.75
210,7,656.55
211,2,590.23
212,1,492.13
213,2,577.4
214,1,692.89
215,4,224.91
216,4,270.25
217,6,848.53
218,4,975.96
219,7,968.29
220,6,260.52
221,4,530.05
222,5,636.05
223,3,658.1
224,5,767.48
225,4,750.55
226,1,210.88
227,7,303.54
228,3,820.39
229,4,432.85
230,3,260.68
231,2,199.13
232,6,160.43
233,5,341.8
234,5,162.2
235,3,180.93
236,4,391.74
237,3,275.08
238,4,590.66
239,6,787.07
240,3,197.02
241,5,735.08
242,3,791.26
243,4,521.56
244,1,547.97
245,5,323.66
246,6,172.72
247,4,950.12
248,6,277.8
249,2,143.76
250,2,360.54
251,2,576.27
252,3,662.0
253,6,119.43
254,6,204.09
255,1,340.0
256,5,275.13
257,1,267.39
258,6,244.94
259,1,496.3
260,1,107.27
261,3,998.29
262,4,886.99
263,1,817.96
264,5,368.94
265,1,349.15
266,6,804.69
267,3,354.49
268,5,716.93
269,7,355.27
270,2,150.78
271,1,220.37
272,1,784.48
273,7,708.45
274,1,822.43
275,5,895.93
276,2,620.37
277,6,844.57
278,1,743.39
279,2,156.78
280,1,676.58
281,1,391.64
282,6,144.05
283,7,656.37
284,6,641.83
285,1,685.25
286,5,801.43
287,7,422.79
288,4,193.66
289,5,500.84
290,7,271.38
291,1,675.55
292,1,296.01
293,6,511.67
294,3,412.62
295,4,962.2
296,5,608.9
297,7,219.6
298,7,781.33
299,3,137.33
300,7,908.73
301,2,772.36
302,1,939.84
303,5,378.41
304,6,120.55
305,6,855.58
306,3,366.67
307,5,720.42
308,5,541.36
309,2,347.07
310,5,654.77
311,4,905.13
312,7,113.07
313,7,767.95
314,7,940.44
315,7,830.8
316,5,640.4
317,6,483.24
318,7,129.52
319,4,205.94
320,3,308.12
321,4,139.54
322,1,902.34
323,5,682.64
324,4,485.82
325,1,155.24
326,5,899.28
327,7,703.64
328,6,517.58
329,5,548.65
330,5,850.83
331,6,811.34
332,1,167.54
333,3,603.91
334,1,758.22
335,5,931.53
336,2,467.83
337,6,389.35
338,7,920.7
339,3,226.56
340,6,131.71
341,6,795.28
342,6,264.53
343,3,964.32
344,5,746.79
345,6,251.4
346,1,162.31
347,3,559.61
348,5,134.88
349,4,225.92
350,1,527.03
351,4,122.36
352,7,149.8
353,2,982.97
354,7,721.35
355,1,165.2
356,6,265.9
357,3,310.27
358,5,758.43
359,3,733.0
360,7,417.83
361,7,547.39
362,4,283.9
363,6,445.88
364,7,634.79
365,2,366.45
366,6,950.77
367,2,129.32
368,1,292.16
369,6,712.19
370,2,480.64
371,7,926.78
372,1,576.41
373,4,923.82
374,5,625.46
375,4,978.15
376,2,980.31
377,1,305.49
378,2,329.84
379,4,768.06
380,4,390.7
381,2,309.48
382,1,191.91
383,2,437.85
384,1,814.78
385,2,107.62
386,3,190.05
387,3,151.5
388,2,239.71
389,4,258.01
390,5,757.68
391,5,737.99
392,2,548.22
393,5,996.1
394,5,702.79
395,2,774.5
396,5,908.65
397,3,422.76
398,4,938.82
399,7,811.94
400,3,803.05
401,3,337.07
402,3,205.03
403,3,983.35
404,2,877.71
405,6,104.76
406,2,291.42
407,2,716.6
408,7,284.89
409,7,161.58
410,6,440.03
411,2,328.97
412,6,832.64
413,3,939.44
414,4,812.4
415,4,769.87
416,2,538.1
417,5,315.17
418,6,842.17
419,3,808.53
420,4,812.02
421,3,475.7
422,3,184.02
423,5,546.71
424,2,404.36
425,7,357.09
426,5,158.81
427,6,125.65
428,7,969.41
429,5,708.31
430,7,633.05
431,3,137.72
432,7,581.71
433,4,546.84
434,4,271.07
435,1,886.87
436,3,122.79
437,7,859.67
438,6,235.9
439,1,233.62
440,1,730.79
441,2,681.0
442,5,225.05
443,3,886.09
444,5,863.68
445,6,773.39
446,2,208.12
447,1,809.41
448,3,705.01
449,3,654.92
450,1,745.77
451,7,923.34
452,4,470.7
453,6,825.83
454,5,822.93
455,4,316.31
456,2,469.23
457,5,801.52
458,7,351.62
459,6,385.85
460,4,760.02
461,7,165.97
462,2,997.41
463,2,526.08
