UsuarioID,ProductoID,Calificacion,Comentario,Fecha
700,16,3,El producto es aceptable por el precio. Quisquam accusamus iure exercitationem vel ut modi.,2024-12-20 10:22:06
557,20,2,No cumplió con lo prometido. Tempore distinctio veniam laboriosam qui molestias.,2024-12-26 10:22:06
448,33,2,No cumplió con lo prometido. Modi doloribus reiciendis nihil quas.,2024-07-21 10:22:06
483,11,5,¡Recomendado al 100%! Soluta consequatur pariatur soluta.,2025-05-15 10:22:06
660,15,5,¡Recomendado al 100%! Nulla unde ipsum similique quidem.,2024-07-05 10:22:06
844,26,4,Sin dudas volvería a comprarlo. Reiciendis modi autem.,2025-01-15 10:22:06
777,12,1,No era lo que esperaba. Iste quisquam quia reprehenderit velit.,2025-01-11 10:22:06
750,26,1,No era lo que esperaba. Iste modi corporis ea explicabo rem tempora.,2024-07-21 10:22:06
424,27,1,No cumplió con lo prometido. Dolorem est voluptatum non.,2024-10-03 10:22:06
683,12,5,Estoy muy satisfecho con la compra. Alias voluptatum vero minima nobis.,2025-06-08 10:22:06
953,14,1,Muy decepcionado con la compra. Vitae quidem libero libero aperiam quia doloremque.,2024-08-24 10:22:06
729,10,1,No cumplió con lo prometido. Repellat animi delectus.,2024-08-29 10:22:06
51,3,1,Llegó defectuoso o incompleto. Fugit nulla corrupti.,2025-04-05 10:22:06
367,30,2,No cumplió con lo prometido. Sequi animi corrupti porro adipisci.,2024-10-09 10:22:06
85,29,4,¡Recomendado al 100%! Tenetur ducimus quam magni minima voluptatum exercitationem.,2025-06-28 10:22:06
113,8,5,¡Recomendado al 100%! Eligendi ipsam atque eos molestias amet alias.,2025-01-25 10:22:06
941,19,1,No era lo que esperaba. Tenetur ea aspernatur nobis iusto eos ex.,2024-07-06 10:22:06
430,18,5,Muy buena calidad y entrega rápida. Adipisci facere explicabo facilis distinctio deleniti.,2024-10-05 10:22:06
762,15,1,Llegó defectuoso o incompleto. Reprehenderit voluptates quos laudantium sit quo.,2024-08-08 10:22:06
165,8,1,Llegó defectuoso o incompleto. Nobis quam amet nihil.,2024-10-17 10:22:06
985,19,5,¡Recomendado al 100%! Voluptatem eaque iusto.,2024-08-02 10:22:06
131,27,2,Llegó defectuoso o incompleto. Quis inventore nihil aperiam odit itaque repellendus.,2024-10-29 10:22:06
461,26,5,Sin dudas volvería a comprarlo. Saepe officia at quibusdam.,2025-06-25 10:22:06
614,16,4,¡Recomendado al 100%! Occaecati ipsa aperiam odio ducimus.,2025-02-25 10:22:06
354,27,2,Llegó defectuoso o incompleto. Aspernatur cupiditate corrupti earum rerum dicta.,2024-11-12 10:22:06
699,11,2,No cumplió con lo prometido. Iusto accusantium eos soluta repellendus odit ducimus.,2024-07-02 10:22:06
965,19,2,Muy decepcionado con la compra. Rerum officia iure nemo officiis.,2025-01-09 10:22:06
41,20,5,Muy buena calidad y entrega rápida. Illum accusantium magni modi repellendus eligendi tempore.,2024-12-04 10:22:06
725,20,4,Sin dudas volvería a comprarlo. Tempora ipsam pariatur nam accusantium.,2025-06-08 10:22:06
298,8,1,No cumplió con lo prometido. Aliquid fugiat dignissimos velit repudiandae nulla ab.,2024-09-11 10:22:06
471,18,1,No era lo que esperaba. Nobis numquam dolor voluptas consequuntur.,2025-04-20 10:22:06
55,25,4,Sin dudas volvería a comprarlo. Est neque suscipit.,2025-05-16 10:22:06
833,34,4,Estoy muy satisfecho con la compra. Fugiat enim excepturi repellendus voluptatibus nihil.,2025-06-19 10:22:06
804,3,4,Muy buena calidad y entrega rápida. Atque ipsa libero quos minima quibusdam.,2024-07-11 10:22:06
529,20,2,Llegó defectuoso o incompleto. Enim impedit debitis nam sequi officiis maxime.,2025-05-26 10:22:06
889,21,2,Muy decepcionado con la compra. Voluptatibus odio sed asperiores voluptates corporis minus.,2025-04-17 10:22:06
200,8,2,Muy decepcionado con la compra. Doloremque ab officiis dolor repudiandae eligendi.,2024-11-17 10:22:06
269,12,2,Llegó defectuoso o incompleto. Nobis nemo corporis nihil rem.,2025-01-16 10:22:06
603,21,4,Estoy muy satisfecho con la compra. Suscipit esse reprehenderit saepe.,2024-09-27 10:22:06
573,33,2,Muy decepcionado con la compra. Dolorem laudantium corrupti nobis.,2024-06-30 10:22:06
782,4,4,Muy buena calidad y entrega rápida. Autem sapiente repellendus maiores neque maxime.,2025-02-23 10:22:06
