OrdenID,MetodoPagoID,Monto,FechaPago,EstadoPago
1,4,147.13,2025-06-02 10:19:16,Procesando
2,1,647.98,2025-04-27 10:19:16,Reembolsado
3,6,627.45,2025-05-07 10:19:16,Fallido
4,5,848.07,2025-06-30 10:19:16,Procesando
5,5,189.8,2025-04-03 10:19:16,Fallido
6,2,153.09,2025-06-11 10:19:16,Pagado
7,5,715.68,2025-04-23 10:19:16,Fallido
8,2,377.24,2025-05-03 10:19:16,Pagado
9,5,883.24,2025-04-03 10:19:16,Pagado
10,4,515.29,2025-05-10 10:19:16,Reembolsado
11,3,377.24,2025-05-13 10:19:16,Procesando
12,6,493.06,2025-05-04 10:19:16,Fallido
13,5,569.21,2025-04-20 10:19:16,Procesando
14,4,840.35,2025-04-14 10:19:16,Procesando
15,1,672.09,2025-04-01 10:19:16,Pagado
16,1,560.49,2025-06-08 10:19:16,Procesando
17,4,915.98,2025-05-17 10:19:16,Pagado
18,5,236.04,2025-04-21 10:19:16,Fallido
19,4,771.35,2025-05-14 10:19:16,Reembolsado
20,3,230.83,2025-05-08 10:19:16,Procesando
21,1,721.48,2025-06-14 10:19:16,Fallido
22,2,183.34,2025-04-26 10:19:16,Fallido
23,4,461.22,2025-06-09 10:19:16,Procesando
24,4,229.96,2025-06-05 10:19:16,Pagado
25,3,379.42,2025-06-22 10:19:16,Fallido
26,5,740.15,2025-05-08 10:19:16,Pagado
27,5,120.02,2025-06-15 10:19:16,Procesando
28,4,401.88,2025-04-23 10:19:16,Fallido
29,3,618.71,2025-05-16 10:19:16,Pagado
30,3,449.66,2025-05-30 10:19:16,Pagado
31,5,546.24,2025-04-16 10:19:16,Procesando
32,4,175.42,2025-04-03 10:19:16,Procesando
33,3,895.42,2025-05-07 10:19:16,Pagado
34,3,697.49,2025-05-09 10:19:16,Procesando
35,4,607.63,2025-05-26 10:19:16,Fallido
36,1,512.0,2025-04-02 10:19:16,Fallido
37,5,933.87,2025-04-29 10:19:16,Reembolsado
38,5,540.34,2025-05-20 10:19:16,Pagado
39,7,286.56,2025-05-11 10:19:16,Reembolsado
40,7,470.67,2025-04-20 10:19:16,Reembolsado
41,2,371.38,2025-04-11 10:19:16,Fallido
42,1,569.16,2025-06-08 10:19:16,Fallido
43,5,412.93,2025-06-24 10:19:16,Reembolsado
44,3,972.69,2025-05-17 10:19:16,Fallido
45,7,658.12,2025-06-06 10:19:16,Fallido
46,2,238.94,2025-04-20 10:19:16,Pagado
47,4,793.16,2025-06-02 10:19:16,Procesando
48,1,912.19,2025-04-17 10:19:16,Reembolsado
49,6,563.84,2025-06-19 10:19:16,Procesando
50,3,156.7,2025-05-17 10:19:16,Fallido
51,1,931.35,2025-06-13 10:19:16,Fallido
52,5,125.32,2025-06-05 10:19:16,Fallido
53,3,310.16,2025-04-30 10:19:16,Reembolsado
54,3,362.85,2025-04-07 10:19:16,Procesando
55,1,425.84,2025-04-30 10:19:16,Fallido
56,1,999.73,2025-06-03 10:19:16,Reembolsado
57,6,549.15,2025-06-23 10:19:16,Fallido
58,7,467.07,2025-04-22 10:19:16,Fallido
59,1,806.18,2025-04-27 10:19:16,Fallido
60,6,812.04,2025-06-18 10:19:16,Reembolsado
61,2,967.07,2025-04-24 10:19:16,Reembolsado
62,2,835.25,2025-05-17 10:19:16,Reembolsado
63,2,195.01,2025-05-26 10:19:16,Procesando
64,6,592.63,2025-04-23 10:19:16,Reembolsado
65,5,332.08,2025-04-30 10:19:16,Pagado
66,5,142.21,2025-04-24 10:19:16,Fallido
67,6,123.12,2025-05-03 10:19:16,Pagado
68,6,855.79,2025-06-02 10:19:16,Pagado
69,7,294.44,2025-04-11 10:19:16,Pagado
70,5,999.2,2025-06-23 10:19:16,Pagado
71,2,337.34,2025-04-12 10:19:16,Pagado
72,3,543.64,2025-04-01 10:19:16,Reembolsado
73,4,755.75,2025-06-23 10:19:16,Procesando
74,6,146.99,2025-04-05 10:19:16,Reembolsado
75,7,279.72,2025-04-14 10:19:16,Fallido
76,2,453.08,2025-04-18 10:19:16,Fallido
77,7,106.67,2025-04-11 10:19:16,Pagado
78,2,390.44,2025-05-13 10:19:16,Pagado
79,2,532.96,2025-04-19 10:19:16,Reembolsado
80,5,340.21,2025-05-30 10:19:16,Reembolsado
81,7,989.23,2025-06-08 10:19:16,Pagado
82,3,156.95,2025-04-25 10:19:16,Procesando
83,1,114.56,2025-06-16 10:19:16,Reembolsado
84,5,697.83,2025-05-21 10:19:16,Pagado
85,1,710.54,2025-06-12 10:19:16,Fallido
86,4,673.77,2025-04-28 10:19:16,Procesando
87,4,595.61,2025-05-16 10:19:16,Fallido
88,6,542.5,2025-05-11 10:19:16,Fallido
89,7,736.09,2025-04-06 10:19:16,Reembolsado
90,6,827.47,2025-06-04 10:19:16,Procesando
91,1,111.96,2025-04-24 10:19:16,Pagado
92,3,691.64,2025-05-04 10:19:16,Fallido
93,2,447.97,2025-05-22 10:19:16,Reembolsado
94,3,450.33,2025-04-03 10:19:16,Fallido
95,6,779.24,2025-04-06 10:19:16,Procesando
96,6,525.53,2025-05-21 10:19:16,Procesando
97,1,375.95,2025-04-13 10:19:16,Fallido
98,1,226.46,2025-05-08 10:19:16,Reembolsado
99,4,956.47,2025-04-26 10:19:16,Procesando
100,7,951.4,2025-04-13 10:19:16,Procesando
101,1,210.88,2025-06-30 10:19:16,Reembolsado
102,1,842.54,2025-06-16 10:19:16,Procesando
103,5,976.83,2025-06-16 10:19:16,Fallido
104,2,158.1,2025-04-16 10:19:16,Reembolsado
105,6,182.59,2025-04-01 10:19:16,Fallido
106,7,118.47,2025-04-26 10:19:16,Pagado
107,6,711.74,2025-06-30 10:19:16,Pagado
108,5,610.79,2025-05-31 10:19:16,Reembolsado
109,6,391.1,2025-05-24 10:19:16,Procesando
110,7,202.15,2025-05-26 10:19:16,Reembolsado
111,4,883.64,2025-06-03 10:19:16,Reembolsado
112,2,981.11,2025-06-22 10:19:16,Reembolsado
113,3,332.59,2025-06-26 10:19:16,Pagado
114,4,135.45,2025-06-22 10:19:16,Reembolsado
115,7,465.08,2025-06-30 10:19:16,Fallido
116,4,983.99,2025-05-10 10:19:16,Pagado
117,5,161.63,2025-05-25 10:19:16,Procesando
118,5,196.36,2025-06-08 10:19:16,Pagado
119,3,967.48,2025-05-10 10:19:16,Fallido
120,5,447.12,2025-06-28 10:19:16,Reembolsado
121,2,255.95,2025-04-18 10:19:16,Reembolsado
122,5,979.8,2025-06-23 10:19:16,Pagado
123,4,539.11,2025-04-12 10:19:16,Procesando
124,2,826.35,2025-04-03 10:19:16,Pagado
125,1,806.52,2025-04-27 10:19:16,Reembolsado
126,2,363.48,2025-04-10 10:19:16,Pagado
127,7,745.51,2025-04-26 10:19:16,Fallido
128,2,924.21,2025-05-10 10:19:16,Reembolsado
129,1,828.65,2025-05-18 10:19:16,Pagado
130,6,322.63,2025-04-09 10:19:16,Procesando
131,5,851.8,2025-05-06 10:19:16,Procesando
132,7,450.03,2025-04-17 10:19:16,Procesando
133,5,841.99,2025-06-03 10:19:16,Procesando
134,7,510.45,2025-06-29 10:19:16,Pagado
135,7,451.03,2025-05-29 10:19:16,Reembolsado
136,2,773.89,2025-05-26 10:19:16,Pagado
137,3,278.43,2025-04-01 10:19:16,Pagado
138,2,845.21,2025-05-26 10:19:16,Reembolsado
139,1,227.59,2025-04-05 10:19:16,Procesando
140,3,626.8,2025-06-25 10:19:16,Fallido
141,7,748.84,2025-06-21 10:19:16,Pagado
142,7,696.85,2025-04-03 10:19:16,Fallido
143,6,692.48,2025-06-23 10:19:16,Procesando
144,2,330.78,2025-06-23 10:19:16,Reembolsado
145,6,443.83,2025-04-11 10:19:16,Pagado
146,7,957.19,2025-04-17 10:19:16,Pagado
147,1,945.59,2025-04-20 10:19:16,Pagado
148,3,888.78,2025-06-04 10:19:16,Reembolsado
149,6,746.32,2025-06-08 10:19:16,Reembolsado
150,4,258.35,2025-05-17 10:19:16,Reembolsado
151,6,628.93,2025-06-03 10:19:16,Reembolsado
152,5,305.59,2025-04-24 10:19:16,Fallido
153,7,897.07,2025-04-10 10:19:16,Procesando
154,7,399.14,2025-06-22 10:19:16,Procesando
155,5,109.48,2025-04-26 10:19:16,Fallido
156,2,328.22,2025-05-12 10:19:16,Fallido
157,3,474.35,2025-06-28 10:19:16,Fallido
158,3,848.73,2025-04-02 10:19:16,Reembolsado
159,4,524.46,2025-04-09 10:19:16,Fallido
160,6,566.09,2025-05-21 10:19:16,Procesando
161,7,993.26,2025-04-30 10:19:16,Reembolsado
162,5,151.4,2025-05-02 10:19:16,Procesando
163,2,675.89,2025-05-02 10:19:16,Fallido
164,5,514.38,2025-04-12 10:19:16,Pagado
165,5,746.71,2025-05-01 10:19:16,Fallido
166,5,808.84,2025-06-19 10:19:16,Procesando
