UsuarioID,FechaOrden,Total,Estado
153,2024-09-09 09:10:27,393.81,Enviado
810,2024-09-29 09:10:27,918.85,Completado
404,2024-11-03 09:10:27,391.29,Pendiente
52,2024-09-14 09:10:27,250.03,Cancelado
811,2025-04-11 09:10:27,983.13,Completado
500,2025-06-26 09:10:27,713.98,Pendiente
357,2024-08-14 09:10:27,540.25,Enviado
486,2025-04-17 09:10:27,972.6,Completado
862,2024-08-03 09:10:27,78.71,Pendiente
58,2024-08-26 09:10:27,218.77,Completado
561,2025-06-10 09:10:27,939.88,Enviado
146,2024-11-15 09:10:27,894.36,Cancelado
203,2024-09-26 09:10:27,399.09,Enviado
624,2024-12-02 09:10:27,672.59,Enviado
868,2025-03-30 09:10:27,359.57,Enviado
359,2024-12-16 09:10:27,740.53,Pendiente
376,2025-05-18 09:10:27,231.84,Pendiente
334,2024-08-11 09:10:27,40.5,Cancelado
115,2024-12-18 09:10:27,307.88,Cancelado
421,2025-05-29 09:10:27,456.56,Enviado
981,2025-04-28 09:10:27,226.87,Completado
522,2025-05-15 09:10:27,268.95,Cancelado
843,2024-08-30 09:10:27,531.97,Completado
876,2025-02-12 09:10:27,131.44,Pendiente
771,2024-11-21 09:10:27,552.61,Completado
112,2025-04-12 09:10:27,332.24,Completado
819,2024-09-03 09:10:27,569.39,Cancelado
444,2024-07-09 09:10:27,649.18,Cancelado
398,2025-06-29 09:10:27,718.03,Pendiente
95,2025-05-29 09:10:27,427.42,Cancelado
780,2025-03-27 09:10:27,754.26,Cancelado
388,2025-06-19 09:10:27,483.28,Pendiente
650,2024-08-14 09:10:27,916.16,Completado
598,2025-03-17 09:10:27,661.21,Completado
76,2025-03-18 09:10:27,62.81,Completado
265,2025-01-09 09:10:27,158.78,Completado
143,2024-12-19 09:10:27,563.93,Completado
679,2025-01-20 09:10:27,787.73,Cancelado
294,2024-10-05 09:10:27,337.47,Pendiente
471,2025-02-01 09:10:27,868.24,Cancelado
619,2025-03-29 09:10:27,934.14,Completado
879,2025-05-03 09:10:27,727.68,Enviado
468,2024-08-09 09:10:27,420.18,Enviado
783,2024-12-03 09:10:27,32.37,Pendiente
346,2025-05-18 09:10:27,52.95,Enviado
351,2024-09-22 09:10:27,384.44,Enviado
22,2025-02-13 09:10:27,329.29,Enviado
360,2025-02-22 09:10:27,654.29,Cancelado
571,2025-04-19 09:10:27,632.9,Completado
73,2025-01-17 09:10:27,521.6,Cancelado
510,2024-08-25 09:10:27,252.94,Enviado
248,2025-01-03 09:10:27,815.15,Enviado
143,2024-11-06 09:10:27,264.42,Completado
248,2024-08-15 09:10:27,594.79,Pendiente
216,2024-10-05 09:10:27,745.89,Pendiente
215,2024-08-20 09:10:27,51.76,Cancelado
377,2025-05-12 09:10:27,606.28,Completado
913,2025-05-24 09:10:27,803.22,Pendiente
317,2025-03-05 09:10:27,351.25,Enviado
172,2025-01-31 09:10:27,452.08,Completado
460,2024-11-11 09:10:27,966.14,Enviado
766,2025-06-21 09:10:27,359.38,Completado
892,2025-01-22 09:10:27,541.32,Pendiente
21,2025-03-02 09:10:27,407.2,Cancelado
540,2025-01-31 09:10:27,522.49,Enviado
458,2025-01-07 09:10:27,191.4,Completado
657,2024-10-13 09:10:27,413.42,Pendiente
261,2025-03-26 09:10:27,499.31,Pendiente
777,2024-10-28 09:10:27,136.71,Enviado
407,2024-07-08 09:10:27,353.92,Enviado
