OrdenID,ProductoID,Cantidad,PrecioUnitario
833,33,1,425.26
657,21,4,307.13
911,15,4,444.75
818,26,5,346.24
695,12,3,155.05
150,10,1,460.0
168,28,5,247.57
490,12,2,342.87
310,14,2,409.94
874,18,2,439.22
743,36,4,403.94
458,2,5,489.53
925,9,2,486.83
58,23,5,109.95
252,16,1,131.33
219,20,1,147.45
697,15,3,237.84
881,27,5,105.23
679,17,1,56.05
475,32,4,330.62
230,29,5,149.02
245,26,3,426.88
329,30,4,235.12
208,2,2,152.55
696,13,4,431.44
758,35,2,86.35
702,24,1,36.31
626,12,2,68.51
294,5,5,458.89
746,22,5,76.28
960,35,4,478.67
891,19,1,57.51
102,18,5,217.65
31,35,5,175.69
129,30,5,365.86
998,11,2,72.78
818,27,2,331.33
274,2,4,22.16
799,33,2,225.22
704,26,3,379.98
961,25,4,443.8
761,25,5,55.95
891,31,2,413.86
51,23,5,473.98
383,36,2,252.93
732,28,3,55.88
164,9,4,164.57
732,11,4,161.13
241,26,5,343.91
919,7,1,463.65
105,36,4,353.17
375,18,4,408.71
407,34,1,464.41
467,32,4,84.87
571,26,5,335.45
150,19,1,90.61
810,34,4,164.48
648,12,3,347.04
45,30,1,482.48
663,28,3,192.56
829,35,5,358.85
969,32,4,94.01
9,4,1,411.66
237,24,2,452.82
946,19,3,155.48
131,28,2,321.47
670,30,1,437.72
819,16,3,402.34
593,6,3,257.17
424,24,5,462.87
133,34,4,149.5
917,34,4,449.26
656,10,4,14.11
207,21,2,77.91
874,26,3,212.11
366,3,5,220.06
692,34,2,52.28
571,6,4,131.78
713,22,3,277.84
655,22,3,321.15
120,3,1,397.05
365,19,2,96.39
829,33,1,231.91
544,31,5,413.71
876,12,1,226.29
91,6,4,33.54
416,20,2,488.73
821,10,3,327.64
213,9,5,257.68
90,3,3,390.86
703,32,2,47.43
508,25,1,352.37
954,31,4,351.26
513,8,1,431.34
137,16,3,193.99
665,10,1,77.31
585,26,5,254.49
602,5,5,124.76
156,14,2,262.98
757,25,5,312.99
203,27,4,230.88
23,9,2,454.9
592,16,3,98.54
160,8,3,301.8
540,4,2,423.23
432,20,2,113.85
661,9,3,408.38
415,24,5,63.22
415,15,1,208.34
345,8,2,92.12
706,16,5,272.5
657,36,3,480.43
423,17,3,486.27
36,29,3,98.84
601,26,4,303.34
689,33,5,213.76
384,11,1,428.19
252,19,4,323.47
96,36,5,194.82
993,5,5,265.1
914,36,5,290.45
701,32,5,343.57
446,13,1,169.33
657,20,3,385.2
315,14,5,392.48
178,27,1,499.82
610,5,3,438.41
68,12,3,64.78
396,36,1,101.43
125,25,2,459.71
459,8,3,318.69
778,21,4,453.67
826,10,3,428.63
659,28,3,494.78
686,30,5,117.02
755,6,1,220.57
423,21,2,437.29
791,18,4,150.86
22,15,2,14.78
831,35,4,420.28
196,14,3,85.18
464,15,1,465.66
912,20,4,383.32
467,21,4,243.13
850,36,5,330.14
801,7,3,181.29
498,28,3,479.26
342,25,2,364.94
472,6,3,375.49
803,9,1,219.05
349,34,4,156.09
847,24,4,411.03
957,23,3,246.8
51,29,5,66.24
536,10,2,459.51
831,30,1,485.54
965,3,1,85.01
739,36,5,497.47
520,33,2,223.5
805,31,5,350.79
963,4,5,160.19
35,16,5,463.42
769,16,3,490.95
511,34,3,70.82
614,7,3,23.38
186,32,3,276.77
616,24,4,163.61
503,25,2,289.77
750,5,5,41.68
551,23,4,330.13
546,13,4,180.29
825,23,5,72.7
734,30,5,485.22
879,3,4,471.0
635,31,4,164.21
542,27,4,106.89
369,36,3,59.43
955,21,3,431.64
17,32,4,390.12
883,10,1,400.12
631,7,4,271.43
422,32,5,209.9
476,31,3,155.78
109,32,5,481.34
337,2,4,31.37
538,17,1,162.72
265,26,4,226.49
892,11,1,401.36
